TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.151000	-654.650490	-663.439640	5.640851	4.137752	
0.152000	-654.650489	-663.397044	5.613513	4.127022	
0.153000	-654.650488	-663.355053	5.586564	4.116402	
0.154000	-654.650487	-663.313679	5.560010	4.105898	
0.155000	-654.650487	-663.272932	5.533860	4.095514	
0.156000	-654.650486	-663.232826	5.508120	4.085256	
0.157000	-654.650485	-663.193371	5.482799	4.075128	
0.158000	-654.650485	-663.154578	5.457902	4.065136	
0.159000	-654.650484	-663.116459	5.433437	4.055284	
0.160000	-654.650483	-663.079023	5.409412	4.045580	
0.161000	-654.650483	-663.042282	5.385832	4.036027	
0.162000	-654.650482	-663.006247	5.362705	4.026632	
0.163000	-654.650481	-662.970926	5.340037	4.017399	
0.164000	-654.650481	-662.936331	5.317834	4.008336	
0.165000	-654.650480	-662.902471	5.296103	3.999447	
0.166000	-654.650480	-662.869355	5.274850	3.990738	
0.167000	-654.650479	-662.836992	5.254080	3.982214	
0.168000	-654.650479	-662.805393	5.233800	3.973882	
0.169000	-654.650478	-662.774564	5.214014	3.965748	
0.170000	-654.650478	-662.744516	5.194730	3.957816	
0.171000	-654.650477	-662.715255	5.175951	3.950093	
0.172000	-654.650477	-662.686791	5.157683	3.942584	
0.173000	-654.650476	-662.659131	5.139931	3.935294	
0.174000	-654.650476	-662.632283	5.122700	3.928229	
0.175000	-654.650475	-662.606253	5.105995	3.921394	
0.176000	-654.650475	-662.581049	5.089819	3.914793	
0.177000	-654.650474	-662.556678	5.074178	3.908432	
0.178000	-654.650474	-662.533145	5.059075	3.902315	
0.179000	-654.650474	-662.510458	5.044514	3.896446	
0.180000	-654.650473	-662.488621	5.030500	3.890830	
0.181000	-654.650473	-662.467641	5.017035	3.885471	
0.182000	-654.650473	-662.447523	5.004124	3.880372	
0.183000	-654.650473	-662.428271	4.991768	3.875536	
0.184000	-654.650472	-662.409892	4.979972	3.870966	
0.185000	-654.650472	-662.392388	4.968739	3.866665	
0.186000	-654.650472	-662.375764	4.958070	3.862634	
0.187000	-654.650472	-662.360025	4.947968	3.858875	
0.188000	-654.650471	-662.345173	4.938436	3.855388	
0.189000	-654.650471	-662.331211	4.929476	3.852174	
0.190000	-654.650471	-662.318144	4.921089	3.849233	
0.191000	-654.650471	-662.305972	4.913278	3.846564	
0.192000	-654.650471	-662.294699	4.906043	3.844166	
0.193000	-654.650471	-662.284327	4.899387	3.842037	
0.194000	-654.650471	-662.274858	4.893309	3.840176	
0.195000	-654.650471	-662.266292	4.887811	3.838582	
0.196000	-654.650471	-662.258630	4.882894	3.837251	
0.197000	-654.650470	-662.251875	4.878559	3.836183	
0.198000	-654.650471	-662.246025	4.874804	3.835375	
0.199000	-654.650471	-662.241082	4.871632	3.834825	
0.200000	-654.650471	-662.237045	4.869041	3.834530	
0.201000	-654.650471	-662.233913	4.867031	3.834490	
0.202000	-654.650471	-662.231686	4.865601	3.834701	
0.203000	-654.650471	-662.230362	4.864752	3.835162	
0.204000	-654.650471	-662.229941	4.864481	3.835871	
0.205000	-654.650471	-662.230420	4.864789	3.836826	
0.206000	-654.650471	-662.231798	4.865673	3.838024	
0.207000	-654.650471	-662.234072	4.867133	3.839464	
0.208000	-654.650472	-662.237240	4.869165	3.841143	
0.209000	-654.650472	-662.241298	4.871769	3.843059	
0.210000	-654.650472	-662.246243	4.874943	3.845211	
0.211000	-654.650472	-662.252072	4.878684	3.847595	
0.212000	-654.650473	-662.258780	4.882989	3.850209	
0.213000	-654.650473	-662.266365	4.887857	3.853051	
0.214000	-654.650473	-662.274820	4.893283	3.856118	
0.215000	-654.650473	-662.284142	4.899266	3.859407	
0.216000	-654.650474	-662.294325	4.905801	3.862916	
0.217000	-654.650474	-662.305364	4.912886	3.866642	
0.218000	-654.650475	-662.317254	4.920516	3.870582	
0.219000	-654.650475	-662.329987	4.928688	3.874732	
0.220000	-654.650475	-662.343559	4.937398	3.879090	
0.221000	-654.650476	-662.357963	4.946642	3.883652	
0.222000	-654.650476	-662.373191	4.956416	3.888416	
0.223000	-654.650477	-662.389238	4.966714	3.893378	
0.224000	-654.650477	-662.406094	4.977532	3.898534	
0.225000	-654.650478	-662.423754	4.988866	3.903882	
0.226000	-654.650478	-662.442209	5.000709	3.909418	
0.227000	-654.650479	-662.461450	5.013058	3.915138	
0.228000	-654.650479	-662.481470	5.025907	3.921039	
0.229000	-654.650480	-662.502260	5.039249	3.927118	
0.230000	-654.650481	-662.523811	5.053080	3.933372	
0.231000	-654.650481	-662.546114	5.067393	3.939796	
0.232000	-654.650482	-662.569159	5.082183	3.946388	
0.233000	-654.650482	-662.592936	5.097443	3.953145	
0.234000	-654.650483	-662.617437	5.113168	3.960063	
0.235000	-654.650484	-662.642651	5.129349	3.967139	
0.236000	-654.650484	-662.668567	5.145982	3.974370	
